"Keys","Russian"
"Pizza.Geogre.069","Заговорил её до смерти! Нет! Я ничего не делал! С вами болтал о всякой хуйне!"
"Pizza.Geogre.070","Да что может произойти... Марта, что у тебя слу... Блять! Ёпт твою мать!"
"Pizza.Geogre.071","Блять!.. Она меня пырнула! Сука! Больная ебаная сука! Отойди от двери!"
"Pizza.Geogre.072","Я заперся. Ромах-роуд, шесть. Апартаменты 112. Скорую и полицию... Ёбаная сука..."
"Pizza.Geogre.073","Нахуя мне это делать, родная моя? Я терплю тебя ровно три года своей никчёмной жизни! Елена, что теперь?.. Вы вызвали службы?"
"Pizza.Geogre.074","Вы с ума сошли? Она меня убьёт!"
"Pizza.Geogre.075","Мне обязательно смотреть? Да, нихуёвое такое ранение... Боже, Марта, как ты могла?"
"Pizza.Geogre.076","Ты никогда не думаешь! Все твои мыслишки, это: «Джордж такой долбоёб», «Джордж мной постоянно командует»..."
"Pizza.Geogre.077","Да... да, правы... ох, чёрт..."
"Pizza.Geogre.078","Блять, мне очень хуёво..."
"Pizza.Geogre.079","Зашивать без анестезии? Вы, блять, совсем рехнулись?"
"Pizza.Geogre.080","Блять, как же больно!"
"Pizza.Geogre.081","Так я хотя бы до скорой дотяну..."
"Pizza.Geogre.082","Да хоть виски! Быстрее!"
"Pizza.Geogre.083","НЕ ПОДХОДИ КО МНЕ!!!"
"Pizza.Geogre.084","Всё-всё, понял, - не убьёшь."
"Pizza.Geogre.085","Хватит этих соплей - делай!"
"Pizza.Geogre.086","Чёрт, как же хуёво."
"Pizza.Geogre.087","Слушайте! Это обыкновенный шантаж! Я уже был в тюрьме... И нет, не за убийство. "
"Pizza.Geogre.088","Меня опять будут гонять по всем инстанциям! Я остепенился! Просто со своеобразным человеком!.."
"Pizza.Geogre.089","Машину я угнал... Чтобы кое-кого впечатлить!"
"Pizza.Geogre.090","Стоп, а это, блять, причём вообще? Чтоб полиции легче было до меня доебаться?"
"Pizza.Geogre.091","Не будет никакого адреса, Елена. Мы не фасуем наркотики или ещё что-нибудь в этом роде..."
"Pizza.Geogre.092","Пойду проверю, в чём там дело..."
"Pizza.Geogre.093","Заебись! Убедились?"
"Pizza.Geogre.094","Хамить мне вздумала? Милочка, я хоть и сидевший, но законодательство усвоил прекрасно: такие слова в мой адрес тебе, представителю инстанций, с рук не сойдут!"
"Pizza.Geogre.095","Ага, спасибо. Что дальше-то?"
"Pizza.Geogre.096","И вы туда же... Спасибо вам, Елена. Пойдём дальше с любимой истеричкой догнивать в гетто: без копов, как мы умеем. До свидания."
"Pizza.Geogre.097","А пьяная Марта присядет им на уши, заливая, какой я деспот и тиран."
"Pizza.Geogre.098","Потом меня повяжут, а ей хоть бы хны – захватит с собой недопитые бутылки и пойдёт шататься хер пойми где."
"Pizza.Geogre.099","Бля... Ладно, вы правы. Но полицию-то нахрена? Может, мозгоправа какого? Хотя... Убедили. Записывайте: Ромах-роуд 6, 112-е апартаменты..."
"Pizza.Geogre.100","Погодите..."
"Pizza.Geogre.101"," А где Марта!? Пара бутылок бухла пропали, кожаной куртки тоже нет... Смылась сука! Елена, ищите пьяную светловолосую истеричку в кожаной куртке. И как можно скорее!"
"Pizza.Geogre.102","Да? Эти копы первым грёбаным делом составят сраный протокол и увезут меня в отделение. Что, думаете, они поверят судимому алкашу и его пьяной истеричке, мол, всё заебись?"
"Pizza.Geogre.103","Ох, спасибо вам, оператор экстренной службы Елена, за оказанное мне доверие. Ваши слова меня успокоили, и теперь я могу с чистой совестью заявить: всё у нас заебись, до свидания."
"Pizza.Geogre.104","Запись, конечно же, вместе с нами в отделение приедет? Хотя, ладно..."
"Pizza.Geogre.105","Ромах-роуд, 6, 112-е апартаменты. Секунду... Что-то Марта притихла..."
"Pizza.Geogre.106","Марта, не смей! Не уходи! Не бросай меня!"
"Pizza.Geogre.107","Чёрт бы вас побрал, Елена! Какой от вас толк-то вообще? Ищите блондинку, кожаная куртка, очевидно, пьяная! Блять, и пусть меня отсюда выпустят!"
"Pizza.Geogre.108","Да, конечно... Скажите что-нибудь."
"Pizza.Geogre.109","Марта..."
"Pizza.Geogre.110","Да ты едва ли справляешься с бытом, тупица!"
"Pizza.Geogre.111","За угон, да..."
"Pizza.Geogre.112","По пожарной лестнице..."
"Pizza.Geogre.113","Всё, Елена! Теперь мы знаем, что делать дальше."
"Pizza.Geogre.114","Что скажешь, Марта? Попробуем? Просто поговорим. Мы же оба – взрослые люди. После всего того, через что мы прошли..."
"Pizza.Geogre.115","Как и я – тебя..."
"Pizza.Geogre.116","Что? Тю, это я могу..."
"Pizza.Geogre.117","Заебала припоминать этот «прошлый раз»!"
"Pizza.Geogre.118","Не в первый раз я себе что-нибудь ломаю из-за тебя, дурочка моя..."
"Pizza.Geogre.119","Возможно, мне стоит реже запираться у себя, а?"
"Pizza.Geogre.120","Вы очень хороший человек, Елена! Ай, сука... Слушайте, а офицеры до больнички не подбросят?"
